"Antwann Jones","UNC Greensboro",SC,6,4.6,75.2,19.2,37.5,38.35,7.8,18,6.2,25.7,1,2,0.5,3,10,0.3,2,6,0.333,2.1,2,12.5,Sr,6-6,0,-0.634435,73.0471,4.1,2026,65925,"Orlando, FL",79.0,0.50005835,2,5,1,5,0.4000,0.2000,0,0,,,115.683,115.388,0.623026,10.8614,-9.15067,-7.2489,-1.90177,-8.87735,11.4857,-5.75205,-3.1253,0.5714,1.5714,2.1429,0.4286,0.2857,0.1429,3.4286,"Wing F",5.8505,1999-05-29
"Elijah Elliott","New Mexico St.",CUSA,29,46.9,101.6,26.7,41.9,47.79,1.8,10,25.8,14.9,63,81,0.778,40,111,0.36,35,110,0.318,1.1,2.2,36.7,Sr,6-1,11,1.11906,109.202,3.1,2026,67572,"Houston, TX",,1.73166481,16,34,24,77,0.4706,0.3117,0,0,,,109.822,110.368,1.54165,88.5456,-0.98329,0.350114,-1.3334,0.0374652,18.6323,0.694389,-0.656923,0.2903,1.6452,1.9355,2.2903,0.7419,0.1613,8.2581,"Scoring PG",11.8498,1999-10-15
"Doctor Bradley","Bethune Cookman",SWAC,8,14,103.4,30,55.2,54.04,8.7,29.3,28,17,21,44,0.477,34,60,0.567,2,7,0.286,5.1,3.2,65.7,Sr,6-8,13,1.2791,109.016,3.9,2026,70326,"Los Angeles, CA",,1.37500000,32,51,2,9,0.6275,0.2222,5,7,0.7143,,97.5289,106.243,2.092,46.4699,5.49294,0.764822,4.72812,5.69574,22.0375,1.77355,3.92219,1.6250,5.8750,7.5000,2.7500,1.2500,1.1250,11.8750,PF/C,2.23708,2000-10-15
"Rahmir Moore","Delaware St.",MEAC,22,43.6,97.9,18.4,43.4,49.99,5.3,10.8,10.5,16.6,43,59,0.729,24,57,0.421,17,57,0.298,0.5,1.4,51.8,Sr,6-2,0,-0.0939391,90.7687,2.6,2026,70501,"Philadelphia, PA",,1.16006237,16,31,8,26,0.5161,0.3077,1,1,1.0000,,110.862,118.606,1.15057,65.9799,-4.98171,-2.99512,-1.98659,-4.64372,21.3038,-2.5236,-2.12012,1.1154,1.6538,2.7692,1.1154,0.4615,0.0769,6.5769,"Wing G",7.25452,2000-07-26
"Alex Hemenway",Evansville,MVC,30,65.8,93.4,14.3,43.3,46.48,1.2,7.7,6.3,9.9,27,33,0.818,13,38,0.342,47,155,0.303,0.5,0.9,17.1,Sr,6-4,12,-0.337299,88.3366,2.5,2026,70621,"Newburgh, IN",24.0,1.42101717,9,22,4,16,0.4091,0.2500,1,1,1.0000,,120.301,118.851,1.38682,102.864,-4.39797,-1.48283,-2.91515,-4.98189,25.8969,-2.75132,-2.23057,0.3125,1.6250,1.9375,0.8438,0.3750,0.0938,6.7188,"Combo G",11.5599,2001-06-17
"Addison Patterson","Eastern Michigan",MAC,30,74.8,109.6,23.5,59.1,60.62,5.1,14.7,18.9,19.7,48,67,0.716,152,238,0.639,20,70,0.286,1.2,2.2,21.8,Sr,6-7,9,2.19842,113.207,3.6,2026,70754,"Mississauga, Canada",,1.14085497,121,170,31,68,0.7118,0.4559,28,30,0.9333,,107.198,107.067,2.79857,162.41,1.9541,0.878098,1.076,2.19835,29.7258,1.30983,0.888519,1.3871,3.9355,5.3226,2.6129,1.0968,0.3226,13.7097,"Wing G",4.54603,2001-06-09
"Rienk Mast",Nebraska,B10,31,69.4,112.4,25.9,51.7,55.04,9.3,13.7,19.9,13.9,63,77,0.818,108,200,0.54,47,145,0.324,1.2,0.9,22.3,Sr,6-10,51,3.26353,124.844,2.4,2026,70772,"Groningen, Netherlands",,1.66668578,64,93,44,107,0.6882,0.4112,2,2,1.0000,,101.472,95.0361,3.87763,147.763,5.26953,2.93683,2.3327,4.78795,28.8903,3.20372,1.58423,2.2258,3.5484,5.7742,2.9032,0.4194,0.2581,13.5484,"Stretch 4",9.69102,2001-07-19
"Rick Issanza","Loyola Marymount",WCC,29,37.9,104.9,10.2,65.3,58.41,9.5,14.5,2.9,22.9,11,32,0.344,32,48,0.667,0,1,0,9.6,1.1,65.3,Sr,7-1,22,0.0106002,92.2163,5,2026,70789,"Kinshasa, Congo, the Democratic Republic of the",1.8,0.42112742,28,38,4,10,0.7368,0.4000,21,24,0.8750,,103.341,101.659,1.81953,92.9374,2.62703,-2.9966,5.62364,0.191216,16.2500,-3.25883,3.45004,1.3000,2.0667,3.3667,0.2667,0.3333,1.4333,2.6333,C,0.123106,2000-10-15
"Steele Venters",Gonzaga,WCC,27,30.7,113.2,15.1,54.4,55.97,1.4,7.9,9.9,15.7,10,12,0.833,8,16,0.5,36,98,0.367,0.6,2.4,10.5,Sr,6-7,2,0.834033,108.058,3.3,2026,70941,"Ellensburg, WA",,1.64707745,6,8,2,8,0.7500,0.2500,2,2,1.0000,,97.304,94.0226,2.08138,71.397,3.8583,1.80314,2.05516,3.1667,15.0630,0.447339,2.71936,0.1852,1.1111,1.2963,1.0370,0.6296,0.0741,4.9630,"Wing G",13.6503,2001-05-16
"Micah Thomas","Northwestern St.",Slnd,30,76.4,103.2,30.2,47.1,54.3,1.2,6.6,22.5,16.1,129,140,0.921,116,266,0.436,46,127,0.362,0.5,1.5,35.6,Sr,6-0,5,2.46079,115.226,2.4,2026,70961,"Oklahoma City, OK",,1.17810805,35,80,81,186,0.4375,0.4355,0,0,,,115.665,117.914,1.70931,119.881,-3.8199,-0.291134,-3.52876,-1.05484,30.2031,1.31312,-2.36796,0.3125,1.6562,1.9688,2.6875,0.9062,0.1250,16.7500,"Scoring PG",8.4363,2000-10-15
